id,redshift,mag_u,mag_g,mag_r,mag_i,mag_z,deVRad_r,deVAB_r,expRad_r,expAB_r,stellar_mass,class
587728949049557000,0.07008400000000001,19.020308,17.222048,16.429121,16.080809,15.817827,1.797143,0.6695770000000001,1.226225,0.6933229999999999,10.480649,1
588848899902800000,0.094983,18.901132999999998,17.628803,16.989418,16.592703,16.332352,4.564437,0.353797,2.4854439999999998,0.381626,10.538557,1
588848898828468000,0.21659899999999999,20.695782,18.828138,17.685841,17.167181,16.810215,3.056556,0.508685,1.552351,0.563747,11.277414,1
587728949049295000,0.093836,19.349258,17.449358,16.51437,16.098141000000002,15.745834,3.865196,0.598165,2.4277990000000003,0.588394,10.907116,1
587728949049556000,0.049406,18.004578,16.222113,15.44474,15.087651000000001,14.796732999999998,1.977009,0.81605,1.507825,0.775636,10.592457000000001,0
588848900438425000,0.096587,18.285635,17.349327,16.890446,16.582478,16.405405,5.226183,0.8701530000000001,2.39376,0.8464430000000001,10.311991,1
588848900438425000,0.046603,18.874851,17.285376,16.487476,16.022709,15.614723999999999,8.566464,0.205127,4.537082,0.21353200000000003,10.401075,1
587728949586821000,0.071375,19.094908,17.033787,16.09094,15.62466,15.276831,3.542323,0.24323899999999998,2.443348,0.304286,10.964158,1
587728947976798000,0.092651,18.513932999999998,17.059053,16.343107,15.943598000000001,15.667526,12.322514,0.537752,4.0498330000000005,0.578595,10.836269,1
588848899902537000,0.09679700000000001,19.835217,18.150938,17.261909,16.75913,16.388247,8.135371000000001,0.23388699999999998,3.7749580000000003,0.265787,10.770662,1
587728948513276000,0.095329,17.91604,15.986479000000001,15.03791,14.638098999999999,14.287047,6.923472,0.787556,3.015548,0.8194040000000001,11.523612,0
588848898828402000,0.061457000000000005,18.397973999999998,17.371439000000002,17.000872,16.702963,16.495678,10.566697999999999,0.182097,4.889231,0.2,9.816882000000001,1
587728948513472000,0.062515,18.532784,17.529953,17.111603,16.826921,16.689453,10.252175,0.421048,3.9346959999999997,0.45611999999999997,9.735887,1
588848898828140000,0.09389199999999999,20.39003,18.659733,17.71291,17.252239000000003,16.892019,3.732361,0.41424300000000003,1.9898650000000002,0.46045,10.510135,1
587728947439272000,0.084115,19.818161,18.147221,17.558139999999998,17.038416,16.877659,12.439456,0.158025,5.293343,0.170507,10.298467,1
588848899901554000,0.065708,19.096811,17.429033,16.584688,16.110985,15.748797,19.119557999999998,0.18774200000000002,7.401592,0.20638,10.824469,1
588848900975624000,0.09624400000000001,19.215664,17.986528,17.288525,16.912369,16.646148999999998,5.116457,0.52712,2.444571,0.5474439999999999,10.461253999999998,1
588848900975558000,0.054091999999999994,19.902571,18.086304000000002,17.276342,16.909755999999998,16.65468,0.757067,0.8346549999999999,0.77132,0.881617,10.466694,0
587728949050147000,0.09221499999999999,19.052951999999998,17.854229,17.425806,17.127792000000003,17.093145,6.371874,0.681117,2.541075,0.72401,10.002704,1
587728950124216000,0.056204,19.322989,17.533112,16.614637,16.100895,15.684762,17.582639999999998,0.36923,6.013482,0.40969399999999995,10.644322,1
587728950124216000,0.097637,18.843239,17.873182,17.451645000000003,17.1793,17.038607,9.908,0.803375,3.802835,0.8118850000000001,9.993541,1
588848900976279000,0.031685000000000005,18.281572,16.795347,16.11051,15.787039000000002,15.565307999999998,3.9406,0.750034,2.30287,0.7769159999999999,9.873025,0
587728947977584000,0.238927,22.003056,18.747460999999998,17.409023,16.934729,16.619184,1.528724,0.610578,1.026405,0.624082,11.450648,0
588848899903455000,0.072479,19.469357000000002,18.022724,17.239027,16.82098,16.544426,6.374448,0.44990399999999997,3.0175520000000002,0.45,10.308785,1
587728948514455000,0.094701,19.404125,17.476238000000002,16.556847,16.151220000000002,15.8178,2.576795,0.444245,1.662078,0.509826,10.890986,1
588848899902996000,0.086983,19.197075,17.919660999999998,17.435064,17.111034,16.898449,9.424675,0.41138100000000005,3.7769550000000005,0.439288,10.034017,1
587728947976995000,0.035254,17.863493,16.777355,16.440672,16.259779,16.145086,9.880484,0.7887029999999999,3.751269,0.7942859999999999,9.336088,1
587728948513603000,0.095777,19.178612,18.021841000000002,17.466131,17.141657000000002,16.95973,5.114351,0.736408,2.34511,0.748684,10.159067,1
588848900976476000,0.11482300000000001,19.882292,18.262884,17.408628,17.034864000000002,16.753204,1.368895,0.48702700000000004,0.996324,0.530313,10.573276,1
588848900976410000,0.14560599999999999,20.667854000000002,18.077156,16.94099,16.450771,16.069328,2.29124,0.890056,1.299101,0.884532,11.253794000000001,0
587728950124609000,0.18698599999999999,20.447771,18.742901,17.614252,17.153419,16.876623000000002,3.048914,0.633031,1.615504,0.592023,11.068514,1
588848898827944000,0.043465,17.041653,15.928769,15.423429,15.101712,14.880901000000001,12.603977,0.611583,6.187108,0.5846060000000001,10.286464,1
588848898827944000,0.13803900000000002,18.797731,17.560516,16.869345000000003,16.501181,16.255453,9.592074,0.9359,3.564951,0.969575,10.845499,1
588848900438950000,0.094124,20.36083,18.304251,17.385368,16.977715,16.664135,1.760521,0.354117,1.26718,0.37947600000000004,10.566606,0
587728949587148000,0.098085,18.395601,17.285938,16.671751,16.316921,16.101479,6.688953,0.46801499999999996,3.771697,0.434044,10.592848,1
587728950124085000,0.147979,20.655964,18.80361,17.598333,17.064125,16.670873999999998,2.286362,0.329353,1.520326,0.363856,11.235393,1
588848900439605000,0.09403099999999999,18.857521,17.362465,16.651464,16.301716,16.0739,8.744923,0.536014,3.652257,0.562394,10.623142,1
587728947977519000,0.06515599999999999,18.820608,17.698923,17.21154,16.853223999999997,16.633987,10.402442,0.21696500000000002,4.837461,0.234938,9.926712,1
588848899366518000,0.083258,19.643902,18.188671,17.508684,17.177124,16.931252999999998,2.546293,0.741115,1.4920930000000001,0.73283,10.117092999999999,1
588848899366518000,0.115168,20.11124,18.220665,17.260372,16.876575,16.533807999999997,1.52132,0.76423,1.033625,0.819875,10.735331,1
588848900440129000,0.160197,20.332365,18.482927,17.337622,16.894274,16.583485,2.235798,0.7377239999999999,1.20869,0.766547,11.094883,0
587728949588131000,0.183748,20.84198,18.765556,17.569557,17.103067000000003,16.790819,1.291664,0.9479860000000001,0.937301,0.8941959999999999,11.135261,0
587728949051523000,0.096834,17.735851,15.77457,14.78154,14.360129999999998,13.994696,6.6031059999999995,0.860875,3.636972,0.859512,11.692317,0
588848899367501000,0.060124000000000004,17.704214,16.330015,15.702869,15.308531,15.027192999999999,5.792658,0.544773,3.787575,0.474886,10.68085,1
588848899904176000,0.13839200000000002,18.872759,17.057117,15.958570000000002,15.510195000000001,15.159537,6.694367,0.845116,3.015319,0.858777,11.545836,0
588848899903979000,0.114731,19.439604,17.835248999999997,17.030115,16.634907000000002,16.333241,11.286057000000001,0.399911,4.313951,0.426717,10.739272999999999,1
588848899366912000,0.133918,19.343243,17.971458,17.220786999999998,16.804531,16.549908,2.847408,0.525794,1.641791,0.5155810000000001,10.806026,1
587728947977978000,0.092708,18.452451999999997,17.393715,16.894213,16.614614000000003,16.480401999999998,5.115857,0.677383,2.364433,0.709386,10.225934,1
587728949588656000,0.18773,20.662228,18.681744000000002,17.459208,17.021538,16.716637,1.456553,0.7959109999999999,0.9999870000000001,0.814581,11.162462,0
587728950125592000,0.065915,17.590563,15.670469,14.769175,14.382397000000001,14.074176999999999,4.876157,0.915926,2.587338,0.964098,11.215734,0
