objID,ra,dec,z,r,expRad_r,expAB_r,deVRad_r,deVAB_r
587727225695109339,11.506678,-10.47861011,0.128443,17.681318,5.178708,0.202625,9.427968,0.209065
587727225695240373,11.90103139,-10.44845282,0.187057,17.738394,4.421151,0.271986,12.323704,0.244091
587727225695830175,13.17235976,-10.36317113,0.197462,17.82049,2.641807,0.489238,5.491037,0.449993
587727225696026750,13.61868136,-10.48000065,0.068708,17.156446,4.910201,0.649783,13.756866,0.625229
587727226230800572,8.75199189,-10.18566772,0.219341,17.785494,1.470979,0.671198,2.74977,0.664478
587727226231718123,10.95736952,-10.03197955,0.172526,17.639629,2.553027,0.804865,6.374694,0.761104
587727226232635452,13.03738885,-10.00786131,0.377262,19.090298,1.011998,0.806646,1.873953,0.742321
587727226232701125,13.15465621,-9.9266083,0.421347,19.39324,0.827086,0.86888,1.451733,0.795924
587727226233356530,14.8139341,-10.01669856,0.328709,18.781467,0.852397,0.877993,1.558352,0.791366
587727226766295334,5.56569899,-9.72871998,0.377151,20.282381,1.030612,0.106529,1.287303,0.05
587727226766360780,5.79687955,-9.64533014,0.238718,17.909773,2.613258,0.959383,6.643352,0.937289
587727226766753953,6.69918344,-9.59851123,0.141898,17.450329,3.012041,0.412449,6.846139,0.385144
587727226768523467,10.80644549,-9.73514345,0.183632,17.15115,2.488437,0.829896,5.392622,0.808842
587727226768588930,10.90418953,-9.5737639,0.057872,17.218781,3.340458,0.933958,8.65792,0.940176
587727226768916618,11.67682313,-9.64938961,0.316946,18.67684,0.820235,0.84253,1.408378,0.795707
587727226769440864,12.9074029,-9.4974833,0.078238,17.526688,4.076702,0.445924,10.750065,0.425662
587727226770030733,14.22079686,-9.58598225,0.365617,19.388071,0.948933,0.611833,1.432683,0.579308
587727226770096522,14.40991654,-9.62784425,0.48279,18.98814,1.915582,0.588411,4.189251,0.551441
587727226770555052,15.48707319,-9.52343326,0.371162,18.645247,1.004358,0.79067,1.828221,0.794302
587727226770555055,15.49490645,-9.55388543,0.357422,19.086269,0.778763,0.882191,1.260422,0.854815
