id HubbleType isElliptical
62420 Sd-Irr NotElliptical
62435 Sab-Scd NotElliptical
62439 Sd-Irr NotElliptical
62440 LBS NotElliptical
62442 Sd-Irr NotElliptical
62453 Sd-Irr NotElliptical
62464 Sd-Irr NotElliptical
62472 LBS NotElliptical
62593 Sd-Irr NotElliptical
62654 Sd-Irr NotElliptical
62663 Sd-Irr NotElliptical
62667 LBS NotElliptical
62718 Sab-Scd NotElliptical
62785 Sd-Irr NotElliptical
62800 Sd-Irr NotElliptical
62833 Sd-Irr LBS
62834 Sd-Irr NotElliptical
62954 Sd-Irr NotElliptical
62983 - Elliptical
62990 - Elliptical
63018 - Elliptical
63023 Sd-Irr NotElliptical
63027 S0-Sa NotElliptical
63035 Sd-Irr NotElliptical
63036 Sd-Irr NotElliptical
63073 Sd-Irr NotElliptical
63084 LBS NotElliptical
63086 Sd-Irr NotElliptical
63087 Sab-Scd NotElliptical
63107 Sd-Irr NotElliptical
63122 Sab-Scd NotElliptical
63147 Sd-Irr NotElliptical
63163 Sd-Irr NotElliptical
63187 - Elliptical
63211 S0-Sa NotElliptical
63237 Sd-Irr NotElliptical
63244 Sd-Irr NotElliptical
63246 LBS NotElliptical
63275 E Elliptical
63277 Sd-Irr NotElliptical
63281 Sd-Irr NotElliptical
63302 Sab-Scd NotElliptical
63304 S0-Sa NotElliptical
63305 S0-Sa NotElliptical
63306 Sd-Irr NotElliptical
63311 Sd-Irr NotElliptical
63315 Sd-Irr NotElliptical
63329 Sd-Irr NotElliptical
63333 Sd-Irr NotElliptical
63344 Sd-Irr NotElliptical
63359 Sd-Irr NotElliptical
63389 Sab-Scd NotElliptical
63401 Sd-Irr NotElliptical
63413 LBS NotElliptical
63438 LBS LBS
63456 LBS NotElliptical
63673 Sd-Irr NotElliptical
63755 Sd-Irr NotElliptical
63764 Sd-Irr NotElliptical
63777 Sab-Scd NotElliptical
63779 Sd-Irr NotElliptical
63819 Sd-Irr NotElliptical
63826 Sd-Irr NotElliptical
63827 Sd-Irr LBS
63882 Sd-Irr NotElliptical
63885 S0-Sa NotElliptical
63924 - LBS
63927 Sd-Irr NotElliptical
63935 - Elliptical
63939 Sd-Irr NotElliptical
64022 - LBS
64085 - Elliptical
64087 S0-Sa NotElliptical
64094 LBS NotElliptical
64127 Sd-Irr NotElliptical
64144 Sd-Irr NotElliptical
64145 Sd-Irr NotElliptical
64156 Sab-Scd NotElliptical
64166 LBS NotElliptical
64167 Sd-Irr NotElliptical
64240 LBS NotElliptical
64284 LBS NotElliptical
64288 LBS LBS
64302 Sd-Irr NotElliptical
64420 Sd-Irr NotElliptical
64646 S0-Sa NotElliptical
64660 Sd-Irr NotElliptical
64687 Sd-Irr NotElliptical
64758 Sd-Irr NotElliptical
64771 Sab-Scd NotElliptical
64829 Sd-Irr NotElliptical
64831 Sd-Irr LBS
64893 Sab-Scd NotElliptical
64983 - Elliptical
64984 Sab-Scd NotElliptical
65032 - LBS
65083 - Elliptical
65109 LBS NotElliptical
65214 - Elliptical
65237 Sd-Irr NotElliptical
65278 Sd-Irr NotElliptical
65338 Sd-Irr NotElliptical
65355 Sab-Scd NotElliptical
65359 Sab-Scd NotElliptical
65384 S0-Sa NotElliptical
65385 - LBS
65401 Sd-Irr NotElliptical
65408 E Elliptical
65410 E Elliptical
65416 S0-Sa NotElliptical
65418 Sd-Irr NotElliptical
65433 Sd-Irr NotElliptical
65435 Sd-Irr NotElliptical
65445 LBS NotElliptical
65473 - Elliptical
69378 - Elliptical
69437 - Elliptical
69450 - Elliptical
69512 - Elliptical
69513 Sab-Scd NotElliptical
69516 - Elliptical
69535 Sab-Scd NotElliptical
69551 Sab-Scd NotElliptical
69566 LBS NotElliptical
69604 - Elliptical
69620 S0-Sa NotElliptical
69652 Sd-Irr NotElliptical
69716 - Elliptical
69717 - Elliptical
69740 S0-Sa NotElliptical
69752 S0-Sa NotElliptical
69844 Sab-Scd NotElliptical
69862 - Elliptical
69864 Sd-Irr NotElliptical
69870 LBS NotElliptical
69903 - Elliptical
69983 Sab-Scd NotElliptical
70016 - Elliptical
70017 - Elliptical
70021 - Elliptical
70022 - Elliptical
70023 S0-Sa NotElliptical
70088 - Elliptical
70107 Sd-Irr NotElliptical
70114 Sab-Scd NotElliptical
70116 Sab-Scd NotElliptical
70117 Sab-Scd NotElliptical
70131 Sab-Scd NotElliptical
70145 - Elliptical
70186 - Elliptical
70188 - Elliptical
70190 - LBS
